CLAVE,irs_value,i_sdsalud,irs_wave
1001,-1.31532,18.250877,2020
1002,-0.857301,14.727569,2020
1003,-0.918554,20.312446,2020
1004,-1.004023,13.805882,2020
1005,-1.173361,21.010706,2020
1006,-1.168755,18.591277,2020
1007,-1.065487,19.862644,2020
1008,-0.956906,13.075796,2020
1009,-0.900102,14.934401,2020
1010,-0.829259,21.03774,2020
1011,-1.075474,17.055664,2020
2001,-0.970463,17.531945,2020
2002,-1.240347,18.162265,2020
2003,-1.024642,18.180561,2020
2004,-1.149643,25.036163,2020
2005,-0.956101,28.093624,2020
2006,0.349481,26.498707,2020
3001,-0.811338,11.714438,2020
3002,-0.568869,14.980788,2020
3003,-1.101218,14.084608,2020
3008,-0.758723,19.249183,2020
3009,-0.890728,13.173056,2020
4001,-0.427612,17.949757,2020
4002,-1.14464,19.384379,2020
4003,-0.922415,23.146939,2020
4004,-0.446059,24.080849,2020
4005,-0.453318,22.229533,2020
4006,0.036244,22.55102,2020
4007,-0.31218,14.177128,2020
4008,-0.34409,18.555711,2020
4009,-0.379536,22.457153,2020
4010,0.317074,24.768241,2020
4011,0.414902,32.443033,2020
4012,-0.699509,18.023142,2020
5001,-1.282192,42.857143,2020
5002,-1.186766,19.483251,2020
5003,-1.221814,23.013532,2020
5004,-1.049694,28.166205,2020
5005,-0.706085,18.80706,2020
5006,-1.165801,15.843862,2020
5007,-0.773303,20,2020
5008,-0.964528,35.674434,2020
5009,-1.02787,22.027611,2020
5010,-1.300759,15.890255,2020
5011,-0.91883,19.8941,2020
5012,-0.736287,18.563603,2020
5013,-0.89738,52.21902,2020
5014,-0.72267,24.889497,2020
5015,-1.009518,30.492424,2020
5016,-1.095539,13.435374,2020
5017,-1.039603,23.317306,2020
5018,-1.355182,15.570012,2020
5019,-1.278062,18.579717,2020
5020,-1.098356,16.824661,2020
5021,-1.16147,14.222358,2020
5022,-1.227345,17.139062,2020
5023,-0.43041,17.288944,2020
5024,-1.026923,22.142022,2020
5025,-1.295353,19.751371,2020
5026,-0.842305,19.357826,2020
5027,-1.257305,16.330587,2020
5028,-1.270138,15.926309,2020
5029,-1.164213,25.414812,2020
5030,-1.383355,16.175999,2020
5031,-1.294073,15.081385,2020
5032,-1.250474,12.167534,2020
5033,-0.947149,27.188963,2020
5034,-1.040244,12.322064,2020
5035,-1.334731,21.934721,2020
5036,-0.594478,27.830584,2020
5037,-1.09659,27.504848,2020
5038,-0.907766,19.550818,2020
6001,-0.489055,9.820459,2020
6002,-1.157756,17.76909,2020
6003,-0.719713,19.37122,2020
6004,-0.646125,19.359793,2020
6005,-0.884068,15.204529,2020
6006,-0.421713,5.24631,2020
6007,-1.087651,15.99531,2020
6008,-0.623937,8.757697,2020
6009,-0.48853,17.739564,2020
6010,-1.32786,18.090036,2020
7001,0.082204,33.839057,2020
7002,-0.03197,34.327654,2020
7003,0.039884,40.113015,2020
7004,1.42085,23.697456,2020
7005,1.256774,29.605907,2020
7006,0.229509,22.142745,2020
7007,2.321146,26.570947,2020
7008,0.517613,27.041663,2020
7009,-0.429847,40.243102,2020
7010,0.684595,20.692464,2020
7011,0.610934,12.695342,2020
7012,0.045575,42.712588,2020
7013,0.682808,28.108311,2020
7014,1.301126,15.033164,2020
7015,-0.222215,43.061542,2020
7016,-0.066618,39.366593,2020
7017,-0.137743,46.498536,2020
7018,0.381097,19.676768,2020
7019,-0.280019,41.871367,2020
7020,0.526642,22.113381,2020
7021,0.080833,32.133201,2020
7022,4.260517,24.814054,2020
7023,2.564559,19.178754,2020
7024,2.4473,13.847054,2020
7025,0.734063,18.683084,2020
7026,2.877015,20.324671,2020
7027,-0.452716,42.339505,2020
7028,0.050131,23.684211,2020
7029,-0.172642,38.781933,2020
7030,0.527657,21.989942,2020
7031,2.16834,24.428465,2020
7032,0.151513,31.864966,2020
7033,0.786109,27.177364,2020
7034,-0.088252,40.544149,2020
7035,0.05739,42.607859,2020
7036,0.281259,17.192572,2020
7037,0.181587,41.367352,2020
7038,1.87954,16.304679,2020
7039,1.389175,33.273581,2020
7040,-0.219837,43.054356,2020
7041,0.77228,16.018445,2020
7042,0.394224,10.538806,2020
7043,0.043094,35.170149,2020
7044,0.65865,20.862788,2020
7045,0.573689,34.914067,2020
7046,-0.117168,33.692132,2020
7047,0.698862,26.22767,2020
7048,-0.328909,38.175815,2020
7049,1.255667,18.177165,2020
7050,-0.189003,43.272171,2020
7051,-0.060241,35.863863,2020
7052,1.599144,17.242797,2020
7053,0.329235,10.327807,2020
7054,0.060171,33.723894,2020
7055,-0.310815,42.103472,2020
7056,2.865647,6.412214,2020
7057,0.277526,20.488756,2020
7058,0.284701,7.701994,2020
7059,1.739935,29.491905,2020
7060,1.645398,19.754401,2020
7061,0.170683,42.696387,2020
7062,0.136178,30.618875,2020
7063,-0.326817,16.168717,2020
7064,3.378717,7.36547,2020
7065,0.086753,36.971232,2020
7066,2.491271,27.509378,2020
7067,1.13541,19.305397,2020
7068,-0.221975,45.596667,2020
7069,-0.048161,36.717911,2020
7070,0.527706,4.427954,2020
7071,0.083613,44.278311,2020
7072,1.119394,26.427318,2020
7073,0.768871,21.838763,2020
7074,-0.724109,33.625555,2020
7075,1.054037,29.650699,2020
7076,1.364996,14.573924,2020
7077,1.24697,18.223841,2020
7078,-0.122718,44.746472,2020
7079,0.002227,35.101572,2020
7080,0.555407,11.15395,2020
7081,1.507437,28.3782,2020
7082,4.173845,26.524037,2020
7083,0.317392,18.787974,2020
7084,0.369846,27.123,2020
7085,0.422559,17.630854,2020
7086,-0.281148,39.388145,2020
7087,0.603534,49.810424,2020
7088,0.224661,29.332756,2020
7089,-0.404519,42.559923,2020
7090,0.610062,22.102485,2020
7091,-0.065293,23.506474,2020
7092,0.322362,61.05666,2020
7093,1.683409,14.199992,2020
7094,1.262836,31.544072,2020
7096,1.745,24.496737,2020
7097,-0.546402,38.69964,2020
7098,0.721426,21.869366,2020
7099,0.473267,20.700028,2020
7100,1.674061,18.177515,2020
7101,-1.071436,40.743064,2020
7102,0.047119,43.30392,2020
7103,0.025636,47.871428,2020
7104,0.179531,24.903382,2020
7105,-0.140053,32.933533,2020
7106,0.543004,31.834393,2020
7107,0.226467,42.447786,2020
7108,-0.249881,36.5971,2020
7109,1.289378,34.690331,2020
7110,0.673939,20.143503,2020
7111,2.288732,17.283406,2020
7112,2.950748,16.751871,2020
7113,1.686595,13.915094,2020
7114,0.410454,49.59539,2020
7115,1.64563,13.273073,2020
7116,0.85034,20.338194,2020
7117,0.635521,13.195435,2020
7118,1.694751,16.057549,2020
7119,1.868427,7.118371,2020
7120,1.136283,8.968714,2020
7121,1.696329,25.303969,2020
7122,-0.126434,32.969783,2020
7123,-0.071234,36.900677,2020
7124,0.341719,35.727764,2020
7125,0.825837,14.360515,2020
8001,-0.819982,15.428767,2020
8002,-1.174008,7.951012,2020
8003,-0.982017,17.815483,2020
8004,-1.168073,21.438547,2020
8005,-0.676733,31.920438,2020
8006,-0.592165,12.881006,2020
8007,3.329732,14.568127,2020
8008,6.827093,12.724046,2020
8009,0.922968,11.733973,2020
8010,-0.807769,20.905909,2020
8011,-1.148985,14.155842,2020
8012,3.492768,19.696783,2020
8013,-0.850455,23.842573,2020
8014,-0.871124,10.766962,2020
8015,-0.458541,6.260163,2020
8016,-1.00446,10.205184,2020
8017,-1.090677,13.12127,2020
8018,-0.317614,11.943518,2020
8019,-1.386087,10.907949,2020
8020,1.901284,12.262938,2020
8021,-1.27883,13.242661,2020
8022,-0.383432,7.69544,2020
8023,-0.604243,33.653846,2020
8024,-0.855143,10.18201,2020
8025,-0.922168,7.674783,2020
8026,-0.72976,8.210784,2020
8027,2.944131,15.647668,2020
8028,-0.918094,14.208166,2020
8029,3.264541,14.140634,2020
8030,1.85595,16.093216,2020
8031,-0.386209,15.733093,2020
8032,-1.239709,11.90019,2020
8033,-0.505817,5.097087,2020
8034,-0.809208,8.622017,2020
8035,-0.302702,26.069968,2020
8036,-1.103903,12.516214,2020
8037,-1.266366,18.598499,2020
8038,-0.815055,7.710843,2020
8039,-0.833833,5.701116,2020
8040,-0.631036,12.726694,2020
8041,3.294234,4.6851,2020
8042,-0.275021,5.602716,2020
8043,-0.65573,13.202042,2020
8044,-0.855228,7.904497,2020
8045,-1.021442,15.05362,2020
8046,3.410274,30.044041,2020
8047,0.484097,32.426355,2020
8048,-0.863307,15.427968,2020
8049,0.506444,10.047153,2020
